Name;Tiefeneinstellnormal;Soll;Abteilung
6658 0,24µm A1   57078;6658 0,24µm A1 (ISO 5436-1) 57078 PTB 13;0,24;FuE
6658 0,75µm A1   57078;6658 0,75µm A1 (ISO 5436-1) 57078 PTB 13;0,754;FuE
6658 2,4µm A1   57078;6658 2,4µm A1 (ISO 5436-1) 57078 PTB 13;2,401;FuE
6658 7,5µm A1   57078;6658 7,5µm A1 (ISO 5436-1) 57078 PTB 13;7,506;FuE
6658 24µm A1   57078;6658 24µm A1 (ISO 5436-1) 57078 PTB 13;24;FuE
6658 75µm A1   57078;6658 75µm A1 (ISO 5436-1) 57078 PTB 13;75,11;FuE
9514 7,5µm A1  50463;9514 7,5µm A1 (ISO 5436-1) 50463 PTB 22;7,498;Fertigung
