Name;Bumpnormal;HX01Y06;HX02Y06;HX03Y06;HX01Y07;HX02Y07;HX03Y07;HX01Y08;HX02Y08;HX03Y08;HX01Y09;HX02Y09;HX03Y09;HX01Y10;HX02Y10;HX03Y10
21-002-0022;21-002-0022;39,737;39,83;40,489;63,336;63,023;62,607;81,415;80,977;78,842;100,942;101,021;100,831;153,864;153,512;153,127
21-002-0023;21-002-0023;39,783;39,795;39,856;63,423;63,029;62,662;81,393;80,959;78,79;100,947;101,07;100,798;153,94;153,527;153,167
